reference	temperature	pressure	country	region	data.group	cumulative
Terabayashi et al, 1996	250	0.8	USA	Pacheco  Pass, Franciscan\	CircumPacific	0.088
Faryad, 1995	360	0.8	Slovakia	Carpathians	Alps	0.09
Zhang et al. 2009	335	0.8	China	Qilian Mountains	Cont_Asia	0.093
Zhang et al. 2009	360	0.8	China	Qilian Mountains	Cont_Asia	0.096
Topuz et al., 2008	290	0.8	Turkey	Thrace	T-I-G	0.099
Willner 2005	400	0.815	Chile	Coastal Cordillera	CircumPacific	0.102
Miyazaki et al., 2013	377	0.85	Japan	Nagasaki Metamorphic Complex	CircumPacific	0.105
Tsujimori and Liou, 2005	275	0.85	Japan	Osayama	CircumPacific	0.107
Song et al., 2009	300	0.85	China	Qilian Mountains	Cont_Asia	0.11
Zhang et al. 2009	345	0.875	China	Qilian Mountains	Cont_Asia	0.113
Grove and Bebout, 1995	275	0.9	USA	Catalina Schist	CircumPacific	0.116
Inui and Toriumi, 2002	520	0.9	Japan	Sambagawa, Shikoku	CircumPacific	0.119
Willner et al. 2000	465	0.9	Chile	Chonos Archipelago	CircumPacific	0.121
Harlow et al., 2011	350	0.9	Guatemala	North of Motagua fault	CircumAtlantic	0.124
Faryad, 1995	380	0.9	Slovakia	Carpathians	Alps	0.127
Reddy et al., 1999	375	0.9	Italy	Combin zone	Alps	0.13
Baziotis et al. 2009	370	0.9	Greece	Lavrion	T-I-G	0.133
Torabi and Arai, 2013	350	0.9	Iran	Anarak region	T-I-G	0.136
Jacobson, 1995	556	0.915	USA	Rand Schist	CircumPacific	0.138
Tricart and Schwartz, 2006	350	0.95	France	southern Queyras	Alps	0.141
Tricart and Schwartz, 2006	400	0.95	France	southern Queyras	Alps	0.144
Candan et al., 2005	300	0.95	Turkey	Afyon zone, Western Anatolia	T-I-G	0.147
Banno et al. 2000	270	1	USA	Ward Creek, Franciscan	CircumPacific	0.15
Fitzherbert et al. 2003	400	1	New Caledonia	Pam Peninsula	CircumPacific	0.153
Chew et al., 2003	360	1	Ireland	NW Mayo inlier	CircumAtlantic	0.155
Draper and Barros, 1994	550	1	Cuba	Escambray	CircumAtlantic	0.158
Escuder-Viruete et al. 2011	375	1	Dominican Republic	Samana Peninsula	CircumAtlantic	0.161
Joyce, 1991	455	1	Dominican Republic	Samana Peninsula	CircumAtlantic	0.164
Hoinkes et al., 1999	350	1	Switzerland/Austria/Italy	Reckner/Hippold nappes	Alps	0.167
Nussbaum et al., 1998	425	1	Switzerland	Suretta nappe	Alps	0.169
Tenczer and Stüwe, 2003	500	1	Austria/Slovenia	Koralpe, Eastern Alps	Alps	0.172
Tenczer and Stüwe, 2003	600	1	Austria/Slovenia	Koralpe, Eastern Alps	Alps	0.175
Tricart and Schwartz, 2006	425	1	France	southern Queyras, unit III	Alps	0.178
Ao and Bhowmik, 2014	325	1	India	Nagaland	Cont_Asia	0.181
Zhang et al., 1997	510	1	Kazakhstan	Kokchetav Massif	Cont_Asia	0.184
Zhou et al., 2009	385	1	China	Heilongjiang Complex	Cont_Asia	0.186
Droop et al., 2005	310	1	Turkey	Altinekin complex, Konya	T-I-G	0.189
Willner 2005	367.5	1.01	Chile	Coastal Cordillera	CircumPacific	0.192
Angiboust et al. 2014	490	1.03	Switzerland/Italy	Dent Blanche, Tsate Complex	Alps	0.195
Patrick, 1995	402.5	1.05	USA	Brooks Range Schist Belt	CircumPacific	0.198
Krebs et al., 2011	375	1.05	Dominican Republic	Rio San Juan	CircumAtlantic	0.201
Beyssac et al. 2008	490	1.1	Taiwan	Tananao complex	CircumPacific	0.203
Grove and Bebout, 1995	450	1.1	USA	Catalina Schist	CircumPacific	0.206
Grove and Bebout, 1995	550	1.1	USA	Catalina Schist	CircumPacific	0.209
Faryad, 1995	430	1.1	Slovakia	Carpathians	Alps	0.212
Agard et al. 2006	525	1.1	Iran	Zagros	T-I-G	0.215
Okay et al., 2002	450	1.1	Turkey	NW Turkey	T-I-G	0.218
Whitney et al., 2008	520	1.1	Turkey	Menderes massif	T-I-G	0.22
Marroni et al. 2009	234.5	1.125	Guatemala	Motagua Fault Zone	CircumAtlantic	0.223
Wilner et al., 2004	415	1.15	Chile	Diego de Almagro	CircumPacific	0.226
Garcia-Casco et al., 2006	556	1.15	Cuba	Western Cuba	CircumAtlantic	0.229
Bousquet et al., 2002	375	1.15	Switzerland/France	Engadine Window	Alps	0.232
Faryad, 1995	420	1.15	Slovakia	Carpathians	Alps	0.234
Zulbati, 2008	565	1.15	Switzerland	Adula nappe (northern)	Alps	0.237
Ao and Bhowmik, 2014	340	1.15	India	Nagaland	Cont_Asia	0.24
Oberhänsli et al., 2013	510	1.15	Turkey	Bitlis massif	T-I-G	0.243
Grove and Bebout, 1995	650	1.2	USA	Catalina Schist	CircumPacific	0.246
Tsujimori and Liou, 2005	515	1.2	Japan	Osayama	CircumPacific	0.249
Willner et al., 2004	425	1.2	Chile	Los Pabilos, Coastal Cordillera	CircumPacific	0.251
Escuder-Viruete and Perez-Estaun, 2013	420	1.2	Dominican Republic	Rio San Juan	CircumAtlantic	0.254
Harlow et al., 2011	350	1.2	Guatemala	La Ceiba	CircumAtlantic	0.257
Stöckhert et al., 1995	550	1.2	Venezuela	Isla Margarita	CircumAtlantic	0.26
Bousquet et al., 2002	360	1.2	Switzerland/France	Engadine Window	Alps	0.263
Schwartz et al. 2000	450	1.2	Italy	Monviso, Viso Mozzo/Passo Gallarino	Alps	0.266
Davis and Whitney, 2006	380	1.2	Turkey	Sivrihisar Massif	T-I-G	0.268
Katzir et al., 2000	450	1.2	Greece	Evia	T-I-G	0.271
Oberhänsli et al., 2010	375	1.2	Turkey	Bitlis massif	T-I-G	0.274
Plunder et al., 2013	300	1.2	Turkey	Tavsanli Zone	T-I-G	0.277
Rimmele et al., 2005	420	1.2	Turkey	Menderes/Lycian	T-I-G	0.28
Rimmele et al., 2005	350	1.2	Turkey	Menderes/Lycian	T-I-G	0.282
Rolland et al., 2009	550	1.2	Armenia	Amassia-Stepanavan Suture	T-I-G	0.285
Willner 2005	415	1.215	Chile	Coastal Cordillera	CircumPacific	0.288
Wilner et al., 2004	510	1.22	Chile	Diego de Almagro	CircumPacific	0.291
Hyppolito et al., 2014	532	1.24	Chile	Punta Sirena	CircumPacific	0.294
Cartwright and Barnicoat, 2002	450	1.25	Switzerland/Italy	Taschalp Region	Alps	0.297
Hoinkes et al., 1999	425	1.25	Switzerland/Austria/Italy	Tauern Window blueschist	Alps	0.299
Tricart and Schwartz, 2006	437.5	1.25	France	southern Queyras, unit IV	Alps	0.302
Ota et al., 2002	555	1.25	Russia	Altai	Cont_Asia	0.305
Rimmele et al., 2005	410	1.25	Turkey	Menderes/Lycian	T-I-G	0.308
Rimmele et al., 2005	375	1.25	Turkey	Menderes/Lycian	T-I-G	0.311
Clarke et al., 1997	570	1.26	New Caledonia	Pam Peninsula	CircumPacific	0.314
Escuder-Viruete et al. 2011	450	1.3	Dominican Republic	Samana Peninsula	CircumAtlantic	0.316
Goncalves et al., 2000	450	1.3	Dominican Republic	Samana Peninsula	CircumAtlantic	0.319
Krebs et al., 2011	550	1.3	Dominican Republic	Rio San Juan	CircumAtlantic	0.322
Stanek et al. 2006	615	1.3	Cuba	Sancti Spiritus dome	CircumAtlantic	0.325
Bousquet et al., 2002	400	1.3	Switzerland/France	Grisons Window	Alps	0.328
Brouwer et al., 2002	525	1.3	Italy	Gran Paradiso	Alps	0.331
Zhang et al., 1997	525	1.3	Kazakhstan	Kokchetav Massif	Cont_Asia	0.333
Rimmele et al., 2005	485	1.3	Turkey	Menderes/Lycian	T-I-G	0.336
Tortorici et al., 2012	350	1.3	Greece	Crete	T-I-G	0.339
Rimmele et al., 2005	400	1.35	Turkey	Menderes/Lycian	T-I-G	0.342
Willner et al., 2004	682	1.375	Chile	Los Pabilos, Coastal Cordillera	CircumPacific	0.345
Potel et al. 2006	410	1.4	New Caledonia	Koumac and Diahot Terranes	CircumPacific	0.347
Markl and Bucher, 1997	540	1.4	Norway	Lofoten	CircumAtlantic	0.35
